Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
50, 10.226128, 4.436816, 10.421758, 4.635892, 0.596701, -0.598653, 0.562692, 
50, 10.420563, 4.565511, 10.654926, 4.663362, 0.549394, -0.946143, 0.606942, 
50, 10.609978, 4.703550, 10.889304, 4.687546, 0.483689, -1.314098, 0.652806, 
50, 10.793544, 4.850879, 11.124681, 4.707539, 0.399853, -1.676718, 0.700004, 
50, 10.970434, 5.007294, 11.360807, 4.722525, 0.299724, -2.002599, 0.748203, 
50, 11.139860, 5.172433, 11.597400, 4.731864, 0.186778, -2.258908, 0.797025, 
50, 11.301114, 5.345787, 11.834158, 4.735160, 0.065928, -2.416998, 0.846067, 
50, 11.453596, 5.526719, 12.070774, 4.732311, -0.056976, -2.458081, 0.894920, 
50, 11.596843, 5.714493, 12.306950, 4.723519, -0.175840, -2.377283, 0.943185, 
50, 11.730548, 5.908312, 12.542413, 4.709266, -0.285076, -2.184724, 0.990499, 
50, 11.854411, 6.107109, 12.776640, 4.684534, -0.494637, -4.191223, 1.036488, 
50, 11.968158, 6.309489, 13.008795, 4.643110, -0.828467, -6.676584, 1.080777, 
50, 12.071722, 6.513999, 13.238032, 4.584740, -1.167405, -6.778775, 1.123058, 
50, 12.165244, 6.719230, 13.463567, 4.510707, -1.480659, -6.265079, 1.163111, 
50, 12.249044, 6.923846, 13.684678, 4.422216, -1.769819, -5.783200, 1.200795, 
50, 12.323571, 7.126598, 13.900694, 4.320320, -2.037922, -5.362050, 1.236039, 
50, 12.389371, 7.326333, 14.110988, 4.205883, -2.288745, -5.016463, 1.268830, 
50, 12.447046, 7.521988, 14.314967, 4.079572, -2.526227, -4.749647, 1.299201, 
50, 12.497235, 7.712584, 14.512060, 3.941868, -2.754064, -4.556728, 1.327214, 
50, 12.540586, 7.897218, 14.701715, 3.793095, -2.975477, -4.428261, 1.352955, 
50, 12.577741, 8.075050, 14.883387, 3.633438, -3.193124, -4.352945, 1.376522, 
50, 12.609327, 8.245294, 15.056536, 3.462983, -3.409103, -4.319581, 1.398018, 
